Name,PA,Ab,H,Sin,Double,Triple,Hr,Bb,Hbp,So,Rbi,R,Rcherr,Sb
PlayerJ,1,2,0,0,0,0,0,1,0,0,0,2,1,0
PlayerK,2,1,0,0,0,0,0,2,0,0,0,2,0,0
PlayerL,2,2,1,1,0,0,0,1,0,0,0,0,1,2
PlayerM,1,3,0,0,0,0,0,0,0,1,2,0,0,0
PlayerN,1,3,1,1,0,0,0,0,0,0,1,0,0,0
PlayerO,3,2,0,0,0,0,0,1,0,2,1,0,0,0
PlayerP,3,2,1,1,0,0,0,1,0,1,0,1,0,1
PlayerQ,3,2,0,0,0,0,0,1,0,2,0,0,0,0
PlayerR,1,2,0,0,0,0,0,0,0,1,0,0,0,0
PlayerS,1,2,0,0,0,0,0,0,0,1,0,0,1,0
